"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"LRP10",7078.81610673532,0.137268538011109,0.0734070671661543,1.86996352408966,0.0614888833181786,0.155336994549598,"NS"
"LRP11",1169.90715668214,0.067973835737457,0.0873232724379033,0.778416037784132,0.436323787058964,0.602622099665185,"NS"
"LRP12",310.718357466167,0.095667295381524,0.12732243822913,0.751378128726694,0.452425121525564,0.617280904851174,"NS"
"LRP1",14041.361633308,-0.0105464355025162,0.112958368712844,-0.0933656852758444,0.925613050589424,0.955637496901432,"NS"
"LRP1B",6.59505561292525,-0.663808463800924,0.221956934813188,-2.99070837484589,0.00278331160333926,0.0164510336844937,"NS"
"LRP2",3.21082625082396,0.274766594301811,0.33694953417757,0.815453254661606,0.41481291156652,0.582056992932355,"NS"
"LRP2BP",61.6929347400581,-0.995951687616271,0.148064532706129,-6.72647033974695,1.73828060810772e-11,3.86552972112059e-09,"NS"
"LRP3",733.400852179577,-0.736695158714981,0.131400178274656,-5.60650045067003,2.06458438218724e-08,1.32901798406737e-06,"NS"
"LRP4",144.023179667164,0.0536116763273572,0.155721352582761,0.344279544443748,0.730636066250831,0.836946839872423,"NS"
"LRP5",3042.9548051137,0.00406141167914282,0.108357772420544,0.0374814984510774,0.97010109187758,0.983164452298502,"NS"
"LRP5L",134.794350438973,-0.197460916955357,0.124319665927377,-1.5883321072525,0.112211260872329,0.236741426800997,"NS"
"LRP6",839.084517817253,-0.0560789702731646,0.0830582142062217,-0.675176691542255,0.499563513428628,0.659168223814318,"NS"
"LRP8",195.51690312861,0.295118618354116,0.148991953267465,1.9807688394039,0.0476172027885764,0.12935893437233,"NS"
"LRPAP1",3286.0085164493,-0.392156716187612,0.0924960916426354,-4.23971120534189,2.2380753237654e-05,0.000405529775331587,"NS"
"LRPPRC",2429.78477145695,0.146826576396497,0.0572419302601326,2.56501791133269,0.0103170479061953,0.0423134877359955,"NS"
"LRRC10B",103.098965638059,-1.83169544635612,0.254311074324287,-7.20257838249081,5.90844560018618e-13,2.5292578502997e-10,"Down in DECEASED"
"LRRC14",726.488148452889,-0.244437272045482,0.078231841563369,-3.12452407051525,0.00178092950186387,0.0118934695243429,"NS"
"LRRC15",851.280805274207,0.0266547441841901,0.272019847037954,0.0979882331176779,0.921941637011828,0.953672214501941,"NS"
"LRRC1",695.723476864342,0.303432685244818,0.0852399848559355,3.5597458840197,0.000371213824262862,0.00364466417021387,"NS"
"LRRC16A",725.776001307996,0.277197570786832,0.106428314037961,2.60454723249642,0.00919957399643768,0.0390491585376803,"NS"
"LRRC16B",46.3868723244872,-1.49807101934786,0.212030403538727,-7.06535946895106,1.60200739701899e-12,5.48623453183125e-10,"Down in DECEASED"
"LRRC17",214.790777844074,-0.123343594614064,0.173548707233938,-0.7107145687222,0.477261129842362,0.638297583281819,"NS"
"LRRC19",64.1308543695795,0.291853134838021,0.280313901521049,1.04116539798547,0.297798791843715,0.463892352290662,"NS"
"LRRC20",372.743391744207,-0.0540419045072231,0.0909463934023438,-0.594217125995789,0.552366899635317,0.701957461153959,"NS"
"LRRC23",282.374412112489,-0.696872256332812,0.171075422080009,-4.07347968434002,4.63158933498994e-05,0.000734801467077893,"NS"
"LRRC24",38.1061600132329,-1.6915086710836,0.27170745289412,-6.2254776343686,4.80091141129375e-10,6.08933378485799e-08,"Down in DECEASED"
"LRRC25",185.778736122027,-0.181852087999791,0.142933769483074,-1.27228218116311,0.203272877349855,0.357649144971391,"NS"
"LRRC26",6.00306211754582,-0.799824601888165,0.323022354836742,-2.47606578898356,0.0132839097710299,0.0508177808331871,"NS"
"LRRC27",185.100972895012,-0.271312920790029,0.0783876892365819,-3.46116747964313,0.000537838098452725,0.0047982002692936,"NS"
"LRRC2",36.0610940231576,-0.570159628877224,0.193367960254683,-2.94857342512314,0.00319244293209348,0.0182730636833851,"NS"
"LRRC28",219.760354044954,0.00711743642500917,0.0617146297390389,0.115328188066676,0.908184996578231,0.947110565911272,"NS"
"LRRC29",75.7378002040754,-0.383033456868986,0.107927357076658,-3.54899320472498,0.000386707059638352,0.00375373298309949,"NS"
"LRRC31",86.8673660949638,0.465251033756304,0.340953286866485,1.36455946218373,0.17239155317186,0.318982122861656,"NS"
"LRRC32",2751.93080182196,-0.0718541102117651,0.1143163140115,-0.628555170214261,0.529640317198568,0.683578137588835,"NS"
"LRRC33",120.924322144698,-0.431345014466665,0.139117167601781,-3.10058795691828,0.00193136842768652,0.0125984082237243,"NS"
"LRRC34",54.0913090753693,-0.067839241752811,0.120186708353331,-0.56444878707697,0.572448744289406,0.717782648540385,"NS"
"LRRC36",49.9395019787056,-0.323432973674384,0.179539988913373,-1.80145367966152,0.0716314018712463,0.172728417721638,"NS"
"LRRC37A2",134.74154052854,-0.359591291053651,0.123807465254719,-2.90443948847378,0.00367911314372665,0.0202955716366081,"NS"
"LRRC37A3",105.795946004496,-0.996110566750176,0.151506566246421,-6.57470228141816,4.87506131622836e-11,9.27507499086425e-09,"NS"
"LRRC37A4",220.261145576868,-0.120221306560143,0.126253797820486,-0.952219328333236,0.340985760561281,0.509262902580969,"NS"
"LRRC37A",341.646414826523,-0.336742670623532,0.0961379865080063,-3.50270151118141,0.000460565260988205,0.00429547582934733,"NS"
"LRRC37B",119.774502811954,-0.283136296839361,0.082584887136542,-3.42842748421073,0.000607088695931133,0.00528210352664065,"NS"
"LRRC37B2",398.84859318884,-0.106685795777151,0.0577420769464064,-1.84762657353271,0.0646563827417069,0.160683779635159,"NS"
"LRRC3",50.3786169847333,0.0116676120171828,0.116520977183253,0.10013314597279,0.920238620883792,0.952559902393494,"NS"
"LRRC39",8.81314369947192,-0.131118597936521,0.178389167285318,-0.735014350545225,0.462330754395586,0.625265737897134,"NS"
"LRRC40",233.74012826479,0.0906127132537086,0.0774636993928488,1.16974420230276,0.242103924168321,0.403695149823174,"NS"
"LRRC41",1711.88499897197,-0.030567914744105,0.0414414347837818,-0.737617191672809,0.460747105438988,0.623912430718212,"NS"
"LRRC42",710.002826864112,0.0887450462988697,0.0671292126339005,1.3220033844707,0.186167023913651,0.336878106060597,"NS"
"LRRC43",10.2793280809144,-0.4086801838347,0.174684445535599,-2.33953390974021,0.0193078187270011,0.0671954511631736,"NS"
"LRRC45",402.935200255213,-0.225752064559962,0.117324063287659,-1.92417529903015,0.0543326141846464,0.142188193899389,"NS"
"LRRC4",41.6520943350936,-0.243816040552819,0.1963748806399,-1.24158466581025,0.214389842310872,0.371182737096973,"NS"
"LRRC46",28.7806298935306,-0.30448392510856,0.165865616129809,-1.83572660936711,0.0663981004494537,0.163611264066196,"NS"
"LRRC47",1084.29033959356,-0.0648108344086475,0.0529118715049961,-1.22488266933684,0.2206194310863,0.378637518140795,"NS"
"LRRC48",49.0705641443705,-0.713090290809665,0.161029121969902,-4.42833123652595,9.49649819775942e-06,0.000207408850306422,"NS"
"LRRC49",143.030333388308,-0.40141896394784,0.109408671691372,-3.66898672419853,0.000243513722845727,0.00265093575622747,"NS"
"LRRC4B",56.8306328297437,-1.40297098697062,0.19786197115973,-7.09065505992572,1.33478665011003e-12,4.86288336379447e-10,"Down in DECEASED"
"LRRC4C",51.5357305431754,-0.109802035326145,0.174366012976041,-0.629721546372874,0.528876782937715,0.683174797008408,"NS"
"LRRC50",11.7128036775279,-0.641759267748225,0.2442787521421,-2.62715959583299,0.00861009407279088,0.0373809941197765,"NS"
"LRRC55",67.5495515582909,-0.218726703967507,0.218517890564055,-1.00095558950763,0.316848279447755,0.483805340555013,"NS"
"LRRC56",112.211547263146,-0.577990214700904,0.144537479324123,-3.99889507831232,6.36388819551435e-05,0.000930562404541351,"NS"
"LRRC57",330.078360648403,0.194710822235873,0.0574148863258493,3.39129509254485,0.000695631581788619,0.00583887234066986,"NS"
"LRRC58",859.735211235065,0.252742794032814,0.0773074877245545,3.26931842531648,0.00107806904573383,0.00817889954368647,"NS"
"LRRC59",3620.80926206362,0.264576736064294,0.0840756514797249,3.14688891977361,0.00165017639272519,0.0112192693585605,"NS"
